ActivityHour,MET00,MET01,MET02,MET03,MET04,MET05,MET06,MET07,MET08,MET09,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26,MET27,MET28,MET29,MET30,MET31,MET32,MET33,MET34,MET35,MET36,MET37,MET38,MET39,MET40,MET41,MET42,MET43,MET44,MET45,MET46,MET47,MET48,MET49,MET50,MET51,MET52,MET53,MET54,MET55,MET56,MET57,MET58,MET59
10/21/2014 12:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 1:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 2:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 3:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 4:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 5:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 6:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 7:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 8:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,38,28,30,30,12
10/21/2014 9:00:00 AM,10,10,10,10,28,30,26,32,36,10,12,10,10,10,10,10,10,10,10,10,10,28,12,12,10,10,12,32,12,12,34,42,26,12,12,12,10,10,12,12,12,12,26,38,76,76,78,78,78,78,74,36,12,10,12,12,38,32,12,10
10/21/2014 10:00:00 AM,10,12,10,12,10,12,12,12,10,10,12,12,10,12,10,10,12,10,12,10,10,12,10,12,10,10,12,10,10,12,12,10,10,12,12,12,10,10,12,36,44,62,64,64,30,42,32,56,30,52,36,12,10,10,12,10,12,12,12,36
10/21/2014 11:00:00 AM,12,10,12,10,10,10,10,10,10,10,10,10,40,56,62,30,10,12,30,44,34,32,52,12,12,12,12,12,26,12,26,12,12,10,10,10,12,12,10,12,12,10,12,12,12,12,10,12,12,12,12,12,10,12,10,12,12,12,10,10
10/21/2014 12:00:00 PM,10,10,12,10,26,10,10,10,12,10,10,12,26,12,12,12,24,26,24,10,12,12,12,10,10,12,10,10,12,12,10,12,12,12,10,10,10,10,12,24,30,54,72,76,76,80,78,78,76,80,58,36,28,12,12,12,12,12,12,12
10/21/2014 1:00:00 PM,36,12,10,12,12,12,10,10,26,48,34,42,32,28,30,36,54,34,12,12,30,28,34,26,30,24,30,12,28,34,28,12,12,12,28,30,32,34,28,42,50,36,12,12,36,36,36,28,36,30,24,30,36,12,12,12,12,24,56,24
10/21/2014 2:00:00 PM,24,12,12,12,26,54,36,28,12,28,28,40,32,34,32,56,50,32,12,10,12,24,12,12,12,10,10,10,10,12,12,12,10,10,10,10,12,10,10,12,12,12,26,32,26,52,36,26,12,12,28,12,12,12,12,26,32,34,28,12
10/21/2014 3:00:00 PM,12,12,10,10,12,10,10,12,10,10,10,12,12,10,10,12,12,10,10,10,26,40,10,28,30,12,10,12,10,10,12,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,12,10
10/21/2014 4:00:00 PM,12,10,12,10,10,10,12,34,30,38,12,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10
10/21/2014 5:00:00 PM,12,12,28,26,26,28,10,10,10,12,12,10,10,10,10,12,10,12,10,10,10,10,10,10,10,12,12,12,10,12,10,10,12,28,30,32,12,28,12,12,10,10,12,10,10,10,10,10,12,10,10,10,12,10,10,10,10,10,10,10
10/21/2014 6:00:00 PM,10,34,12,28,32,26,12,12,12,12,12,12,12,10,10,10,10,28,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 7:00:00 PM,10,10,10,10,10,10,10,26,30,12,28,36,26,12,30,12,28,32,36,12,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 8:00:00 PM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 9:00:00 PM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 10:00:00 PM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 11:00:00 PM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 12:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
