ActivityDay,Calories
12/14/2012,2784
12/15/2012,3006
12/16/2012,2849
12/17/2012,3025
12/18/2012,2782
12/19/2012,2629
12/20/2012,3096
12/21/2012,2900
12/22/2012,2802
12/23/2012,2632
12/24/2012,3080
12/25/2012,2663
12/26/2012,2818
12/27/2012,2800
12/28/2012,3207
12/29/2012,2919
12/30/2012,2816
12/31/2012,3243
1/1/2013,2571
1/2/2013,2605
1/3/2013,2694
1/4/2013,2918
1/5/2013,2581
1/6/2013,2774
1/7/2013,2418
1/8/2013,2921
1/9/2013,3056
1/10/2013,3186
1/11/2013,2778
1/12/2013,2927
1/13/2013,3051
1/14/2013,2870
1/15/2013,2923
1/16/2013,2805
1/17/2013,2582
1/18/2013,2508
1/19/2013,2803
1/20/2013,2633
1/21/2013,3125
1/22/2013,2690
1/23/2013,2542
1/24/2013,2415
1/25/2013,3100
1/26/2013,2431
1/27/2013,3118
1/28/2013,2709
1/29/2013,2389
1/30/2013,2601
1/31/2013,3397
2/1/2013,2264
2/2/2013,2714
2/3/2013,2666
2/4/2013,2834
2/5/2013,2562
2/6/2013,2943
2/7/2013,3681
2/8/2013,2606
2/9/2013,3017
2/10/2013,3115
2/11/2013,2432
2/12/2013,2753
2/13/2013,2575
2/14/2013,2765
2/15/2013,3188
2/16/2013,2701
2/17/2013,3035
2/18/2013,2767
2/19/2013,2795
2/20/2013,3032
2/21/2013,3293
2/22/2013,2800
2/23/2013,2718
2/24/2013,2977
2/25/2013,2730
2/26/2013,2541
2/27/2013,2796
2/28/2013,2752
3/1/2013,3040
3/2/2013,2778
3/3/2013,2672
3/4/2013,2829
3/5/2013,2793
3/6/2013,3287
3/7/2013,2812
3/8/2013,2752
3/9/2013,2374
3/10/2013,2531
3/11/2013,2673
3/12/2013,2694
3/13/2013,2390
3/14/2013,3027
3/15/2013,2821
3/16/2013,2622
3/17/2013,2392
3/18/2013,2752
3/19/2013,3298
3/20/2013,2820
3/21/2013,2772
3/22/2013,3124
3/23/2013,2752
3/24/2013,2752
3/25/2013,2604
3/26/2013,3163
3/27/2013,2771
3/28/2013,2400
3/29/2013,2377
3/30/2013,2742
