ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
12/14/2012,1433,6,1,0,0,0.0099999997764825821,0,0
12/15/2012,534,354,104,1,0,2.3499999046325684,2.4200000762939453,0.059999998658895493
12/16/2012,491,335,87,0,0.0099999997764825821,1.8899999856948853,1.3600000143051147,0
12/17/2012,778,186,115,32,0,0.68999999761581421,4.6399998664855957,2.6500000953674316
12/18/2012,607,209,117,6,0.0099999997764825821,1.2400000095367432,2.1700000762939453,0.38999998569488525
12/19/2012,734,175,74,12,0,0.81000000238418579,1.9700000286102295,0.86000001430511475
12/20/2012,519,321,129,12,0.019999999552965164,1.6599999666213989,2.8900001049041748,0.82999998331069946
12/21/2012,637,250,118,9,0,1.4500000476837158,2.8199999332427979,0.68000000715255737
12/22/2012,995,293,76,2,0,1.0900000333786011,2.5499999523162842,0.18000000715255737
12/23/2012,674,266,50,0,0,1.8799999952316284,1.4099999666213989,0
12/24/2012,569,276,117,18,0.0099999997764825821,1.940000057220459,3.7200000286102295,1.6000000238418579
12/25/2012,671,262,58,1,0.019999999552965164,2.0199999809265137,1.6599999666213989,0.15000000596046448
12/26/2012,1071,293,75,1,0,2.6400001049041748,2.4100000858306885,0.059999998658895493
12/27/2012,960,341,54,2,0,1.2599999904632568,1.7100000381469727,0.090000003576278687
12/28/2012,455,398,109,10,0.0099999997764825821,2.4200000762939453,3.1700000762939453,0.89999997615814209
12/29/2012,522,362,74,0,0,2.2400000095367432,2.619999885559082,0
12/30/2012,1072,302,59,7,0,2.1400001049041748,2.130000114440918,0.50999999046325684
12/31/2012,730,338,85,28,0,2.2799999713897705,3,2.9900000095367432
1/1/2013,599,253,37,1,0.0099999997764825821,1.7699999809265137,1.0099999904632568,0.11999999731779099
1/2/2013,740,248,52,0,0,1.4299999475479126,1.5399999618530273,0
1/3/2013,1131,250,49,10,0.0099999997764825821,0.93999999761581421,1.4800000190734863,0.67000001668930054
1/4/2013,1058,293,75,14,0.0099999997764825821,2.0099999904632568,2.0899999141693115,1.1599999666213989
1/5/2013,1164,220,53,3,0.0099999997764825821,1.6599999666213989,1.6299999952316284,0.25999999046325684
1/6/2013,1074,292,73,1,0,1.8600000143051147,2.25,0.12999999523162842
1/7/2013,1230,161,49,0,0,1.1699999570846558,1.4700000286102295,0
1/8/2013,1009,353,77,1,0,2.309999942779541,2.6099998950958252,0.14000000059604645
1/9/2013,641,294,106,14,0.0099999997764825821,1.3799999952316284,3.2699999809265137,1.1200000047683716
1/10/2013,507,354,99,17,0.0099999997764825821,2.2100000381469727,4.0799999237060547,1.4299999475479126
1/11/2013,634,309,52,4,0.0099999997764825821,1.8500000238418579,1.7400000095367432,0.34000000357627869
1/12/2013,464,399,52,1,0.0099999997764825821,1.8899999856948853,1.3700000047683716,0.070000000298023224
1/13/2013,469,332,108,6,0.0099999997764825821,2.2000000476837158,3.1099998950958252,0.40000000596046448
1/14/2013,649,277,96,3,0.0099999997764825821,2.0399999618530273,3.4300000667572021,0.27000001072883606
1/15/2013,646,334,78,6,0.0099999997764825821,1.9500000476837158,2.4300000667572021,0.36000001430511475
1/16/2013,701,289,64,9,0.0099999997764825821,1.6100000143051147,1.7899999618530273,0.72000002861022949
1/17/2013,679,218,56,5,0.0099999997764825821,1.1200000047683716,1.5800000429153442,0.37999999523162842
1/18/2013,741,222,40,1,0,1.1000000238418579,1.1499999761581421,0.070000000298023224
1/19/2013,1065,306,68,1,0.019999999552965164,2.2200000286102295,2.1500000953674316,0.039999999105930328
1/20/2013,1149,235,50,6,0,1.4800000190734863,1.7400000095367432,0.43000000715255737
1/21/2013,753,231,66,45,0,1.2999999523162842,1.7799999713897705,6.0999999046325684
1/22/2013,671,249,58,7,0,1.1799999475479126,1.7400000095367432,0.43999999761581421
1/23/2013,283,222,40,4,0,1.2100000381469727,1.0800000429153442,0.27000001072883606
1/24/2013,873,148,34,7,0,0.68000000715255737,0.949999988079071,0.800000011920929
1/25/2013,727,237,55,49,0,1.2899999618530273,1.7599999904632568,6.46999979019165
1/26/2013,1133,250,55,2,0,1.5700000524520874,1,0.11999999731779099
1/27/2013,1009,306,96,29,0,2.190000057220459,2.3399999141693115,3.5699999332427979
1/28/2013,767,214,100,5,0,1.2799999713897705,2.1700000762939453,0.28999999165534973
1/29/2013,874,128,66,3,0.0099999997764825821,0.77999997138977051,1.2699999809265137,0.20000000298023224
1/30/2013,783,235,64,1,0,1.5299999713897705,1.3300000429153442,0.059999998658895493
1/31/2013,993,296,89,62,0,1.8400000333786011,2.1700000762939453,8.09000015258789
2/1/2013,889,125,38,0,0,0.68999999761581421,0.75,0
2/2/2013,1132,181,125,2,0.0099999997764825821,1.7799999713897705,2.7899999618530273,0.12999999523162842
2/3/2013,1120,242,72,5,0.0099999997764825821,1.7699999809265137,1.7899999618530273,0.37999999523162842
2/4/2013,733,220,46,36,0.0099999997764825821,1.6000000238418579,0.9100000262260437,4.9800000190734863
2/5/2013,1189,165,79,7,0,1.1299999952316284,1.9700000286102295,0.56000000238418579
2/6/2013,814,230,76,33,0,1.0900000333786011,2.3199999332427979,2.690000057220459
2/7/2013,505,288,141,67,0,2.0699999332427979,4.7300000190734863,8.8199996948242187
2/8/2013,534,247,67,0,0.0099999997764825821,1.9800000190734863,0.95999997854232788,0
2/9/2013,537,363,115,4,0.0099999997764825821,2.6700000762939453,2.0899999141693115,0.2800000011920929
2/10/2013,1066,270,55,49,0.0099999997764825821,1.6399999856948853,1.6499999761581421,6.7600002288818359
2/11/2013,1165,166,53,1,0,0.97000002861022949,1.5199999809265137,0.079999998211860657
2/12/2013,682,292,55,6,0.0099999997764825821,1.7699999809265137,1.7999999523162842,0.550000011920929
2/13/2013,625,227,52,5,0,1.3400000333786011,1.2799999713897705,0.36000001430511475
2/14/2013,656,273,68,6,0.0099999997764825821,1.7400000095367432,2.4200000762939453,0.5
2/15/2013,736,278,89,37,0.0099999997764825821,1.8700000047683716,3.8499999046325684,4.3400001525878906
2/16/2013,1090,296,53,1,0,1.9800000190734863,1.940000057220459,0.070000000298023224
2/17/2013,518,383,63,12,0.019999999552965164,2.8199999332427979,2.309999942779541,0.949999988079071
2/18/2013,614,310,62,3,0,1.6100000143051147,1.9500000476837158,0.2800000011920929
2/19/2013,775,236,78,11,0,1.1100000143051147,3.2000000476837158,0.98000001907348633
2/20/2013,1008,220,91,37,0,0.949999988079071,3.5499999523162842,3.2100000381469727
2/21/2013,579,318,85,41,0,2.0799999237060547,3.4000000953674316,4.9200000762939453
2/22/2013,615,334,47,6,0,2.2899999618530273,1.2599999904632568,0.41999998688697815
2/23/2013,1097,289,45,9,0,1.8899999856948853,1.4600000381469727,0.70999997854232788
2/24/2013,606,376,80,3,0,1.8899999856948853,2.6099998950958252,0.23000000417232513
2/25/2013,1070,263,65,6,0.0099999997764825821,1.6200000047683716,1.8899999856948853,0.52999997138977051
