ActivityDay,StepTotal
12/14/2012,9
12/15/2012,6446
12/16/2012,4352
12/17/2012,10665
12/18/2012,5093
12/19/2012,4855
12/20/2012,7222
12/21/2012,6610
12/22/2012,5114
12/23/2012,4386
12/24/2012,9726
12/25/2012,5139
12/26/2012,6822
12/27/2012,4094
12/28/2012,8672
12/29/2012,6487
12/30/2012,6391
12/31/2012,10864
1/1/2013,3876
1/2/2013,3975
1/3/2013,4130
1/4/2013,7018
1/5/2013,4743
1/6/2013,5677
1/7/2013,3530
1/8/2013,6746
1/9/2013,7709
1/10/2013,10312
1/11/2013,5263
1/12/2013,4482
1/13/2013,7627
1/14/2013,7681
1/15/2013,6331
1/16/2013,5519
1/17/2013,4123
1/18/2013,3090
1/19/2013,5918
1/20/2013,4870
1/21/2013,10876
1/22/2013,4478
1/23/2013,3416
1/24/2013,3289
1/25/2013,11270
1/26/2013,3585
1/27/2013,10049
1/28/2013,5001
1/29/2013,3024
1/30/2013,3901
1/31/2013,14209
2/1/2013,1918
2/2/2013,6290
2/3/2013,5273
2/4/2013,8725
2/5/2013,4889
2/6/2013,8200
2/7/2013,18720
2/8/2013,3937
2/9/2013,6727
2/10/2013,11751
2/11/2013,3434
2/12/2013,5519
2/13/2013,3981
2/14/2013,6233
2/15/2013,12606
2/16/2013,5328
2/17/2013,8110
2/18/2013,5127
2/19/2013,7073
2/20/2013,10292
2/21/2013,12974
2/22/2013,5304
2/23/2013,5433
2/24/2013,6316
2/25/2013,5406
2/26/2013,3340
2/27/2013,5172
2/28/2013,1893
3/1/2013,9795
3/2/2013,5912
3/3/2013,5365
3/4/2013,6277
3/5/2013,5914
3/6/2013,10668
3/7/2013,7685
3/8/2013,131
3/9/2013,3700
3/10/2013,4694
3/11/2013,5160
3/12/2013,5375
3/13/2013,2631
3/14/2013,10951
3/15/2013,6601
3/16/2013,4341
3/17/2013,3647
3/18/2013,140
3/19/2013,11724
3/20/2013,6658
3/21/2013,5732
3/22/2013,9738
3/23/2013,23
3/24/2013,0
