ActivityHour,Calories
12/14/2012 12:00:00 AM,79
12/14/2012 1:00:00 AM,79
12/14/2012 2:00:00 AM,79
12/14/2012 3:00:00 AM,79
12/14/2012 4:00:00 AM,79
12/14/2012 5:00:00 AM,79
12/14/2012 6:00:00 AM,79
12/14/2012 7:00:00 AM,79
12/14/2012 8:00:00 AM,79
12/14/2012 9:00:00 AM,79
12/14/2012 10:00:00 AM,79
12/14/2012 11:00:00 AM,79
12/14/2012 12:00:00 PM,79
12/14/2012 1:00:00 PM,79
12/14/2012 2:00:00 PM,79
12/14/2012 3:00:00 PM,79
12/14/2012 4:00:00 PM,79
12/14/2012 5:00:00 PM,79
12/14/2012 6:00:00 PM,79
12/14/2012 7:00:00 PM,79
12/14/2012 8:00:00 PM,83
12/14/2012 9:00:00 PM,90
12/14/2012 10:00:00 PM,79
12/14/2012 11:00:00 PM,79
12/15/2012 12:00:00 AM,92
12/15/2012 1:00:00 AM,81
12/15/2012 2:00:00 AM,85
12/15/2012 3:00:00 AM,79
12/15/2012 4:00:00 AM,83
12/15/2012 5:00:00 AM,87
12/15/2012 6:00:00 AM,85
12/15/2012 7:00:00 AM,135
12/15/2012 8:00:00 AM,150
12/15/2012 9:00:00 AM,118
12/15/2012 10:00:00 AM,188
12/15/2012 11:00:00 AM,203
12/15/2012 12:00:00 PM,176
12/15/2012 1:00:00 PM,156
12/15/2012 2:00:00 PM,79
12/15/2012 3:00:00 PM,96
12/15/2012 4:00:00 PM,138
12/15/2012 5:00:00 PM,152
12/15/2012 6:00:00 PM,136
12/15/2012 7:00:00 PM,172
12/15/2012 8:00:00 PM,182
12/15/2012 9:00:00 PM,114
12/15/2012 10:00:00 PM,113
12/15/2012 11:00:00 PM,103
12/16/2012 12:00:00 AM,83
12/16/2012 1:00:00 AM,83
12/16/2012 2:00:00 AM,83
12/16/2012 3:00:00 AM,85
12/16/2012 4:00:00 AM,83
12/16/2012 5:00:00 AM,83
12/16/2012 6:00:00 AM,81
12/16/2012 7:00:00 AM,117
12/16/2012 8:00:00 AM,121
12/16/2012 9:00:00 AM,161
12/16/2012 10:00:00 AM,131
12/16/2012 11:00:00 AM,185
12/16/2012 12:00:00 PM,184
12/16/2012 1:00:00 PM,142
12/16/2012 2:00:00 PM,154
12/16/2012 3:00:00 PM,151
12/16/2012 4:00:00 PM,147
12/16/2012 5:00:00 PM,116
12/16/2012 6:00:00 PM,110
12/16/2012 7:00:00 PM,113
12/16/2012 8:00:00 PM,126
12/16/2012 9:00:00 PM,110
12/16/2012 10:00:00 PM,117
12/16/2012 11:00:00 PM,81
12/17/2012 12:00:00 AM,79
12/17/2012 1:00:00 AM,81
12/17/2012 2:00:00 AM,83
12/17/2012 3:00:00 AM,83
12/17/2012 4:00:00 AM,83
12/17/2012 5:00:00 AM,107
12/17/2012 6:00:00 AM,156
12/17/2012 7:00:00 AM,210
12/17/2012 8:00:00 AM,107
12/17/2012 9:00:00 AM,102
12/17/2012 10:00:00 AM,245
12/17/2012 11:00:00 AM,87
12/17/2012 12:00:00 PM,226
12/17/2012 1:00:00 PM,160
12/17/2012 2:00:00 PM,91
