ActivityHour,TotalIntensity,AverageIntensity
12/14/2012 12:00:00 AM,0,0
12/14/2012 1:00:00 AM,0,0
12/14/2012 2:00:00 AM,0,0
12/14/2012 3:00:00 AM,0,0
12/14/2012 4:00:00 AM,0,0
12/14/2012 5:00:00 AM,0,0
12/14/2012 6:00:00 AM,0,0
12/14/2012 7:00:00 AM,0,0
12/14/2012 8:00:00 AM,0,0
12/14/2012 9:00:00 AM,0,0
12/14/2012 10:00:00 AM,0,0
12/14/2012 11:00:00 AM,0,0
12/14/2012 12:00:00 PM,0,0
12/14/2012 1:00:00 PM,0,0
12/14/2012 2:00:00 PM,0,0
12/14/2012 3:00:00 PM,0,0
12/14/2012 4:00:00 PM,0,0
12/14/2012 5:00:00 PM,0,0
12/14/2012 6:00:00 PM,0,0
12/14/2012 7:00:00 PM,0,0
12/14/2012 8:00:00 PM,2,0.033333
12/14/2012 9:00:00 PM,5,0.083333
12/14/2012 10:00:00 PM,0,0
12/14/2012 11:00:00 PM,0,0
12/15/2012 12:00:00 AM,7,0.116667
12/15/2012 1:00:00 AM,1,0.016667
12/15/2012 2:00:00 AM,3,0.05
12/15/2012 3:00:00 AM,0,0
12/15/2012 4:00:00 AM,2,0.033333
12/15/2012 5:00:00 AM,4,0.066667
12/15/2012 6:00:00 AM,3,0.05
12/15/2012 7:00:00 AM,28,0.466667
12/15/2012 8:00:00 AM,36,0.6
12/15/2012 9:00:00 AM,20,0.333333
12/15/2012 10:00:00 AM,52,0.866667
12/15/2012 11:00:00 AM,60,1
12/15/2012 12:00:00 PM,48,0.8
12/15/2012 1:00:00 PM,34,0.566667
12/15/2012 2:00:00 PM,0,0
12/15/2012 3:00:00 PM,8,0.133333
12/15/2012 4:00:00 PM,30,0.5
12/15/2012 5:00:00 PM,37,0.616667
12/15/2012 6:00:00 PM,27,0.45
12/15/2012 7:00:00 PM,44,0.733333
12/15/2012 8:00:00 PM,47,0.783333
12/15/2012 9:00:00 PM,16,0.266667
12/15/2012 10:00:00 PM,16,0.266667
12/15/2012 11:00:00 PM,13,0.216667
12/16/2012 12:00:00 AM,2,0.033333
12/16/2012 1:00:00 AM,2,0.033333
12/16/2012 2:00:00 AM,2,0.033333
12/16/2012 3:00:00 AM,3,0.05
12/16/2012 4:00:00 AM,2,0.033333
12/16/2012 5:00:00 AM,2,0.033333
12/16/2012 6:00:00 AM,1,0.016667
12/16/2012 7:00:00 AM,18,0.3
12/16/2012 8:00:00 AM,20,0.333333
12/16/2012 9:00:00 AM,40,0.666667
12/16/2012 10:00:00 AM,27,0.45
12/16/2012 11:00:00 AM,54,0.9
12/16/2012 12:00:00 PM,52,0.866667
12/16/2012 1:00:00 PM,31,0.516667
12/16/2012 2:00:00 PM,38,0.633333
12/16/2012 3:00:00 PM,36,0.6
12/16/2012 4:00:00 PM,33,0.55
12/16/2012 5:00:00 PM,19,0.316667
12/16/2012 6:00:00 PM,14,0.233333
12/16/2012 7:00:00 PM,17,0.283333
12/16/2012 8:00:00 PM,25,0.416667
12/16/2012 9:00:00 PM,16,0.266667
12/16/2012 10:00:00 PM,19,0.316667
12/16/2012 11:00:00 PM,1,0.016667
12/17/2012 12:00:00 AM,0,0
12/17/2012 1:00:00 AM,1,0.016667
12/17/2012 2:00:00 AM,2,0.033333
12/17/2012 3:00:00 AM,2,0.033333
12/17/2012 4:00:00 AM,2,0.033333
12/17/2012 5:00:00 AM,14,0.233333
12/17/2012 6:00:00 AM,41,0.683333
12/17/2012 7:00:00 AM,54,0.9
12/17/2012 8:00:00 AM,12,0.2
12/17/2012 9:00:00 AM,11,0.183333
12/17/2012 10:00:00 AM,64,1.066667
12/17/2012 11:00:00 AM,4,0.066667
12/17/2012 12:00:00 PM,60,1
12/17/2012 1:00:00 PM,32,0.533333
12/17/2012 2:00:00 PM,6,0.1
12/17/2012 3:00:00 PM,58,0.966667
12/17/2012 4:00:00 PM,16,0.266667
12/17/2012 5:00:00 PM,45,0.75
12/17/2012 6:00:00 PM,28,0.466667
12/17/2012 7:00:00 PM,5,0.083333
12/17/2012 8:00:00 PM,4,0.066667
12/17/2012 9:00:00 PM,8,0.133333
12/17/2012 10:00:00 PM,1,0.016667
12/17/2012 11:00:00 PM,31,0.516667
12/18/2012 12:00:00 AM,3,0.05
12/18/2012 1:00:00 AM,1,0.016667
12/18/2012 2:00:00 AM,2,0.033333
12/18/2012 3:00:00 AM,0,0
12/18/2012 4:00:00 AM,3,0.05
12/18/2012 5:00:00 AM,6,0.1
12/18/2012 6:00:00 AM,18,0.3
12/18/2012 7:00:00 AM,2,0.033333
12/18/2012 8:00:00 AM,27,0.45
12/18/2012 9:00:00 AM,12,0.2
12/18/2012 10:00:00 AM,49,0.816667
12/18/2012 11:00:00 AM,29,0.483333
12/18/2012 12:00:00 PM,36,0.6
12/18/2012 1:00:00 PM,20,0.333333
12/18/2012 2:00:00 PM,29,0.483333
12/18/2012 3:00:00 PM,26,0.433333
12/18/2012 4:00:00 PM,22,0.366667
12/18/2012 5:00:00 PM,22,0.366667
12/18/2012 6:00:00 PM,59,0.983333
12/18/2012 7:00:00 PM,13,0.216667
12/18/2012 8:00:00 PM,8,0.133333
12/18/2012 9:00:00 PM,7,0.116667
12/18/2012 10:00:00 PM,14,0.233333
12/18/2012 11:00:00 PM,21,0.35
12/19/2012 12:00:00 AM,2,0.033333
12/19/2012 1:00:00 AM,1,0.016667
12/19/2012 2:00:00 AM,2,0.033333
12/19/2012 3:00:00 AM,4,0.066667
12/19/2012 4:00:00 AM,1,0.016667
12/19/2012 5:00:00 AM,3,0.05
12/19/2012 6:00:00 AM,9,0.15
12/19/2012 7:00:00 AM,34,0.566667
12/19/2012 8:00:00 AM,45,0.75
12/19/2012 9:00:00 AM,0,0
12/19/2012 10:00:00 AM,23,0.383333
12/19/2012 11:00:00 AM,32,0.533333
12/19/2012 12:00:00 PM,29,0.483333
12/19/2012 1:00:00 PM,5,0.083333
12/19/2012 2:00:00 PM,14,0.233333
12/19/2012 3:00:00 PM,25,0.416667
12/19/2012 4:00:00 PM,36,0.6
12/19/2012 5:00:00 PM,32,0.533333
12/19/2012 6:00:00 PM,22,0.366667
12/19/2012 7:00:00 PM,0,0
12/19/2012 8:00:00 PM,0,0
12/19/2012 9:00:00 PM,6,0.1
12/19/2012 10:00:00 PM,1,0.016667
12/19/2012 11:00:00 PM,15,0.25
12/20/2012 12:00:00 AM,2,0.033333
12/20/2012 1:00:00 AM,0,0
12/20/2012 2:00:00 AM,6,0.1
12/20/2012 3:00:00 AM,10,0.166667
12/20/2012 4:00:00 AM,4,0.066667
12/20/2012 5:00:00 AM,4,0.066667
12/20/2012 6:00:00 AM,2,0.033333
12/20/2012 7:00:00 AM,37,0.616667
12/20/2012 8:00:00 AM,49,0.816667
12/20/2012 9:00:00 AM,42,0.7
12/20/2012 10:00:00 AM,38,0.633333
12/20/2012 11:00:00 AM,42,0.7
12/20/2012 12:00:00 PM,68,1.133333
12/20/2012 1:00:00 PM,21,0.35
12/20/2012 2:00:00 PM,8,0.133333
12/20/2012 3:00:00 PM,34,0.566667
12/20/2012 4:00:00 PM,60,1
12/20/2012 5:00:00 PM,35,0.583333
12/20/2012 6:00:00 PM,28,0.466667
12/20/2012 7:00:00 PM,22,0.366667
12/20/2012 8:00:00 PM,35,0.583333
12/20/2012 9:00:00 PM,23,0.383333
12/20/2012 10:00:00 PM,14,0.233333
12/20/2012 11:00:00 PM,1,0.016667
12/21/2012 12:00:00 AM,3,0.05
12/21/2012 1:00:00 AM,1,0.016667
12/21/2012 2:00:00 AM,4,0.066667
12/21/2012 3:00:00 AM,2,0.033333
12/21/2012 4:00:00 AM,5,0.083333
12/21/2012 5:00:00 AM,1,0.016667
12/21/2012 6:00:00 AM,0,0
12/21/2012 7:00:00 AM,17,0.283333
12/21/2012 8:00:00 AM,33,0.55
12/21/2012 9:00:00 AM,12,0.2
12/21/2012 10:00:00 AM,33,0.55
12/21/2012 11:00:00 AM,33,0.55
12/21/2012 12:00:00 PM,39,0.65
12/21/2012 1:00:00 PM,25,0.416667
12/21/2012 2:00:00 PM,56,0.933333
12/21/2012 3:00:00 PM,21,0.35
12/21/2012 4:00:00 PM,53,0.883333
12/21/2012 5:00:00 PM,12,0.2
12/21/2012 6:00:00 PM,8,0.133333
12/21/2012 7:00:00 PM,30,0.5
12/21/2012 8:00:00 PM,47,0.783333
12/21/2012 9:00:00 PM,31,0.516667
12/21/2012 10:00:00 PM,20,0.333333
12/21/2012 11:00:00 PM,0,0
12/22/2012 12:00:00 AM,0,0
12/22/2012 1:00:00 AM,0,0
12/22/2012 2:00:00 AM,0,0
12/22/2012 3:00:00 AM,0,0
12/22/2012 4:00:00 AM,0,0
12/22/2012 5:00:00 AM,0,0
12/22/2012 6:00:00 AM,0,0
12/22/2012 7:00:00 AM,1,0.016667
12/22/2012 8:00:00 AM,49,0.816667
12/22/2012 9:00:00 AM,51,0.85
12/22/2012 10:00:00 AM,34,0.566667
12/22/2012 11:00:00 AM,31,0.516667
12/22/2012 12:00:00 PM,17,0.283333
12/22/2012 1:00:00 PM,43,0.716667
12/22/2012 2:00:00 PM,24,0.4
12/22/2012 3:00:00 PM,19,0.316667
12/22/2012 4:00:00 PM,21,0.35
12/22/2012 5:00:00 PM,29,0.483333
12/22/2012 6:00:00 PM,40,0.666667
