ActivityHour,StepTotal
12/14/2012 12:00:00 AM,0
12/14/2012 1:00:00 AM,0
12/14/2012 2:00:00 AM,0
12/14/2012 3:00:00 AM,0
12/14/2012 4:00:00 AM,0
12/14/2012 5:00:00 AM,0
12/14/2012 6:00:00 AM,0
12/14/2012 7:00:00 AM,0
12/14/2012 8:00:00 AM,0
12/14/2012 9:00:00 AM,0
12/14/2012 10:00:00 AM,0
12/14/2012 11:00:00 AM,0
12/14/2012 12:00:00 PM,0
12/14/2012 1:00:00 PM,0
12/14/2012 2:00:00 PM,0
12/14/2012 3:00:00 PM,0
12/14/2012 4:00:00 PM,0
12/14/2012 5:00:00 PM,0
12/14/2012 6:00:00 PM,0
12/14/2012 7:00:00 PM,0
12/14/2012 8:00:00 PM,0
12/14/2012 9:00:00 PM,9
12/14/2012 10:00:00 PM,0
12/14/2012 11:00:00 PM,0
12/15/2012 12:00:00 AM,30
12/15/2012 1:00:00 AM,0
12/15/2012 2:00:00 AM,0
12/15/2012 3:00:00 AM,0
12/15/2012 4:00:00 AM,0
12/15/2012 5:00:00 AM,0
12/15/2012 6:00:00 AM,0
12/15/2012 7:00:00 AM,226
12/15/2012 8:00:00 AM,246
12/15/2012 9:00:00 AM,267
12/15/2012 10:00:00 AM,981
12/15/2012 11:00:00 AM,1184
12/15/2012 12:00:00 PM,605
12/15/2012 1:00:00 PM,467
12/15/2012 2:00:00 PM,0
12/15/2012 3:00:00 PM,173
12/15/2012 4:00:00 PM,310
12/15/2012 5:00:00 PM,202
12/15/2012 6:00:00 PM,200
12/15/2012 7:00:00 PM,432
12/15/2012 8:00:00 PM,676
12/15/2012 9:00:00 PM,202
12/15/2012 10:00:00 PM,154
12/15/2012 11:00:00 PM,91
12/16/2012 12:00:00 AM,0
12/16/2012 1:00:00 AM,0
12/16/2012 2:00:00 AM,0
12/16/2012 3:00:00 AM,0
12/16/2012 4:00:00 AM,0
12/16/2012 5:00:00 AM,0
12/16/2012 6:00:00 AM,0
12/16/2012 7:00:00 AM,214
12/16/2012 8:00:00 AM,185
12/16/2012 9:00:00 AM,263
12/16/2012 10:00:00 AM,333
12/16/2012 11:00:00 AM,915
12/16/2012 12:00:00 PM,621
12/16/2012 1:00:00 PM,200
12/16/2012 2:00:00 PM,338
12/16/2012 3:00:00 PM,315
12/16/2012 4:00:00 PM,257
12/16/2012 5:00:00 PM,215
12/16/2012 6:00:00 PM,119
12/16/2012 7:00:00 PM,153
12/16/2012 8:00:00 PM,98
12/16/2012 9:00:00 PM,30
12/16/2012 10:00:00 PM,96
12/16/2012 11:00:00 PM,0
12/17/2012 12:00:00 AM,0
12/17/2012 1:00:00 AM,0
12/17/2012 2:00:00 AM,0
12/17/2012 3:00:00 AM,0
12/17/2012 4:00:00 AM,0
12/17/2012 5:00:00 AM,113
12/17/2012 6:00:00 AM,92
12/17/2012 7:00:00 AM,1848
12/17/2012 8:00:00 AM,225
12/17/2012 9:00:00 AM,158
12/17/2012 10:00:00 AM,2005
12/17/2012 11:00:00 AM,0
12/17/2012 12:00:00 PM,1449
12/17/2012 1:00:00 PM,1164
12/17/2012 2:00:00 PM,126
12/17/2012 3:00:00 PM,1790
12/17/2012 4:00:00 PM,199
12/17/2012 5:00:00 PM,797
12/17/2012 6:00:00 PM,354
12/17/2012 7:00:00 PM,56
12/17/2012 8:00:00 PM,27
12/17/2012 9:00:00 PM,86
12/17/2012 10:00:00 PM,0
12/17/2012 11:00:00 PM,170
12/18/2012 12:00:00 AM,0
12/18/2012 1:00:00 AM,0
12/18/2012 2:00:00 AM,0
12/18/2012 3:00:00 AM,0
12/18/2012 4:00:00 AM,0
12/18/2012 5:00:00 AM,82
12/18/2012 6:00:00 AM,112
12/18/2012 7:00:00 AM,1
12/18/2012 8:00:00 AM,242
12/18/2012 9:00:00 AM,96
12/18/2012 10:00:00 AM,534
12/18/2012 11:00:00 AM,155
12/18/2012 12:00:00 PM,522
12/18/2012 1:00:00 PM,307
12/18/2012 2:00:00 PM,425
12/18/2012 3:00:00 PM,465
12/18/2012 4:00:00 PM,314
12/18/2012 5:00:00 PM,355
12/18/2012 6:00:00 PM,865
12/18/2012 7:00:00 PM,179
12/18/2012 8:00:00 PM,67
12/18/2012 9:00:00 PM,115
12/18/2012 10:00:00 PM,111
12/18/2012 11:00:00 PM,139
12/19/2012 12:00:00 AM,10
12/19/2012 1:00:00 AM,0
12/19/2012 2:00:00 AM,0
12/19/2012 3:00:00 AM,0
12/19/2012 4:00:00 AM,0
12/19/2012 5:00:00 AM,0
12/19/2012 6:00:00 AM,21
12/19/2012 7:00:00 AM,255
12/19/2012 8:00:00 AM,715
12/19/2012 9:00:00 AM,0
12/19/2012 10:00:00 AM,223
12/19/2012 11:00:00 AM,476
12/19/2012 12:00:00 PM,662
12/19/2012 1:00:00 PM,34
12/19/2012 2:00:00 PM,394
12/19/2012 3:00:00 PM,679
12/19/2012 4:00:00 PM,563
12/19/2012 5:00:00 PM,406
12/19/2012 6:00:00 PM,285
12/19/2012 7:00:00 PM,0
12/19/2012 8:00:00 PM,0
12/19/2012 9:00:00 PM,11
12/19/2012 10:00:00 PM,0
12/19/2012 11:00:00 PM,121
12/20/2012 12:00:00 AM,0
12/20/2012 1:00:00 AM,0
12/20/2012 2:00:00 AM,14
12/20/2012 3:00:00 AM,75
12/20/2012 4:00:00 AM,10
12/20/2012 5:00:00 AM,7
12/20/2012 6:00:00 AM,0
12/20/2012 7:00:00 AM,307
12/20/2012 8:00:00 AM,847
12/20/2012 9:00:00 AM,758
12/20/2012 10:00:00 AM,689
12/20/2012 11:00:00 AM,629
12/20/2012 12:00:00 PM,1087
12/20/2012 1:00:00 PM,188
12/20/2012 2:00:00 PM,94
12/20/2012 3:00:00 PM,485
12/20/2012 4:00:00 PM,607
12/20/2012 5:00:00 PM,185
12/20/2012 6:00:00 PM,263
12/20/2012 7:00:00 PM,161
12/20/2012 8:00:00 PM,447
12/20/2012 9:00:00 PM,342
12/20/2012 10:00:00 PM,27
12/20/2012 11:00:00 PM,0
12/21/2012 12:00:00 AM,9
12/21/2012 1:00:00 AM,0
12/21/2012 2:00:00 AM,0
12/21/2012 3:00:00 AM,4
12/21/2012 4:00:00 AM,0
12/21/2012 5:00:00 AM,0
12/21/2012 6:00:00 AM,0
12/21/2012 7:00:00 AM,226
12/21/2012 8:00:00 AM,282
12/21/2012 9:00:00 AM,71
12/21/2012 10:00:00 AM,418
12/21/2012 11:00:00 AM,364
12/21/2012 12:00:00 PM,654
12/21/2012 1:00:00 PM,272
12/21/2012 2:00:00 PM,1067
12/21/2012 3:00:00 PM,400
12/21/2012 4:00:00 PM,1028
12/21/2012 5:00:00 PM,83
12/21/2012 6:00:00 PM,84
12/21/2012 7:00:00 PM,247
12/21/2012 8:00:00 PM,788
12/21/2012 9:00:00 PM,362
12/21/2012 10:00:00 PM,251
12/21/2012 11:00:00 PM,0
12/22/2012 12:00:00 AM,0
12/22/2012 1:00:00 AM,0
12/22/2012 2:00:00 AM,0
12/22/2012 3:00:00 AM,0
12/22/2012 4:00:00 AM,0
12/22/2012 5:00:00 AM,0
12/22/2012 6:00:00 AM,0
12/22/2012 7:00:00 AM,0
12/22/2012 8:00:00 AM,689
12/22/2012 9:00:00 AM,984
12/22/2012 10:00:00 AM,34
12/22/2012 11:00:00 AM,399
12/22/2012 12:00:00 PM,119
12/22/2012 1:00:00 PM,173
12/22/2012 2:00:00 PM,16
12/22/2012 3:00:00 PM,35
12/22/2012 4:00:00 PM,177
12/22/2012 5:00:00 PM,82
12/22/2012 6:00:00 PM,484
12/22/2012 7:00:00 PM,1259
12/22/2012 8:00:00 PM,109
12/22/2012 9:00:00 PM,417
12/22/2012 10:00:00 PM,137
12/22/2012 11:00:00 PM,0
12/23/2012 12:00:00 AM,7
12/23/2012 1:00:00 AM,0
12/23/2012 2:00:00 AM,0
12/23/2012 3:00:00 AM,0
12/23/2012 4:00:00 AM,0
12/23/2012 5:00:00 AM,0
12/23/2012 6:00:00 AM,0
12/23/2012 7:00:00 AM,292
12/23/2012 8:00:00 AM,375
12/23/2012 9:00:00 AM,186
12/23/2012 10:00:00 AM,602
12/23/2012 11:00:00 AM,276
12/23/2012 12:00:00 PM,342
12/23/2012 1:00:00 PM,192
12/23/2012 2:00:00 PM,237
12/23/2012 3:00:00 PM,97
12/23/2012 4:00:00 PM,353
12/23/2012 5:00:00 PM,207
12/23/2012 6:00:00 PM,409
12/23/2012 7:00:00 PM,226
12/23/2012 8:00:00 PM,417
12/23/2012 9:00:00 PM,41
12/23/2012 10:00:00 PM,4
12/23/2012 11:00:00 PM,123
12/24/2012 12:00:00 AM,0
12/24/2012 1:00:00 AM,0
12/24/2012 2:00:00 AM,0
12/24/2012 3:00:00 AM,0
12/24/2012 4:00:00 AM,8
12/24/2012 5:00:00 AM,0
12/24/2012 6:00:00 AM,0
12/24/2012 7:00:00 AM,0
12/24/2012 8:00:00 AM,586
12/24/2012 9:00:00 AM,290
12/24/2012 10:00:00 AM,848
12/24/2012 11:00:00 AM,788
12/24/2012 12:00:00 PM,1182
12/24/2012 1:00:00 PM,1809
12/24/2012 2:00:00 PM,1346
12/24/2012 3:00:00 PM,98
12/24/2012 4:00:00 PM,0
12/24/2012 5:00:00 PM,479
12/24/2012 6:00:00 PM,586
12/24/2012 7:00:00 PM,324
12/24/2012 8:00:00 PM,153
12/24/2012 9:00:00 PM,951
12/24/2012 10:00:00 PM,145
12/24/2012 11:00:00 PM,115
12/25/2012 12:00:00 AM,37
12/25/2012 1:00:00 AM,10
